journal,id,title,dataset,decision
Sustainability,2227,Farm-to-Fork and Sustainable Agriculture Practices: Perceived Economic Benefit as a Moderator and Environmental Sustainability as a Mediator,Predatory,AI
Sustainability,2230,"Understanding the Nexus between Social Commerce, Green Customer Citizenship, Eco-Friendly Behavior and Staying in Green Hotels",Predatory,Human
Agriculture,2374,Agritourism and peer-to-peer accommodation: A moderated mediation model,Predatory,Human
Sustainability,2382,Adaptive reuse of heritage houses and hotel conative loyalty: digital technology as a moderator and memorable tourism and hospitality experience as a mediator,Predatory,Human
Sustainability,2425,Risks in relation to adopting airbnb accommodation: the role of fear of COVID-19,Predatory,Human
Sustainability,2434,Greenwashing behavior in hotels industry: The role of green transparency and green authenticity,Predatory,AI
Sustainability,2436,The effectiveness of centralized payment network advertisements on digital branding during the COVID-19 crisis,Predatory,Human
Electronics,2623,Digital transformation management of supply chain firms based on big data from DeFi social media profiles,Predatory,Human
Electronics,2636,Leading logistics firms’ re-engineering through the optimization of the customer’s social media and website activity,Predatory,Human
Applied Sciences,2640,Engineering supply chain transportation indexes through big data analytics and deep learning,Predatory,Human
RSC advances,6067,"A synergistic investigation of azo-thiazole derivatives incorporating thiazole moieties: a comprehensive exploration of their synthesis, characterization, computational …",Predatory,AI
Scientific Reports,6124,Aeromonas sobria as a potential candidate for bioremediation of heavy metal from contaminated environments,Predatory,Human
Cureus,6156,"Exploring young adults' reluctance to engage with psychiatric hospitals in Erbil, Iraq: identifying barriers to psychiatric care",Predatory,Human
Cureus,6217,Bridging the Gap: Nurses’ Integral Role in Oral Cancer Prevention and Management,Predatory,AI
Sustainability,6568,Prediction of sodium hazard of irrigation purpose using artificial neural network modelling,Predatory,Human
The Journal of Physical Chemistry B,7510,Effect of side-chain length on structural and dynamic properties of ionic liquids with hydroxyl cationic tails,Predatory,Human
Proceedings of the IEEE/CVF Conference on Computer Vision and …,8159,The new agronomists: Language models are experts in crop management,Predatory,Human
Proceedings of the IEEE/CVF Conference on Computer Vision and …,8204,Residual-based Language Models are Free Boosters for Biomedical Imaging Tasks,Predatory,Human
Scientific Reports,8573,A novel hybrid feature selection and ensemble-based machine learning approach for botnet detection,Predatory,AI
IEEE Access,8762,Dynamics of digital pen-tablet: handwriting analysis for person identification using machine and deep learning techniques,Predatory,AI
RSC advances,1745,"Cu/TEMPO catalyzed dehydrogenative 1, 3-dipolar cycloaddition in the synthesis of spirooxindoles as potential antidiabetic agents",Normal,Human
Electronics,2479,Predicting Cybersickness Using Machine Learning and Demographic Data in Virtual Reality,Normal,AI
The Journal of Physical Chemistry B,2518,Accuracy of Discrete-Continuum Solvation Model for Cations: A Benchmark Study,Normal,Human
Scientific Reports,3483,Peak Cenozoic warmth enabled deep-sea sand deposition,Normal,Human
Scientific Reports,5173,Prevalence of anxiety and depressive symptoms in ulcerative colitis patients in Jordan and its relationship to patient-reported disease activity,Normal,Human
Cureus,5178,The prevalence of anxiety and depressive symptoms among patients with celiac disease in Jordan,Normal,Human
Agriculture,6357,A lightweight attention-based convolutional neural networks for tomato leaf disease classification,Normal,Human
IEEE Access,6722,Determining spatiotemporal distribution of macronutrients in a cornfield using remote sensing and a deep learning model,Normal,Human
Agriculture,6835,Measurement of overlapping leaf area of ice plants using digital image processing technique,Normal,Human
Proceedings of the IEEE/CVF Conference on Computer Vision and …,7826,Dreammatcher: appearance matching self-attention for semantically-consistent text-to-image personalization,Normal,Human
IEEE Access,7847,A comparison of trajectory compression algorithms over AIS data,Normal,Human
Scientific Reports,8140,"The dynamics of cooperation, power, and inequality in a group-structured society",Normal,Human
Applied Sciences,8863,Face recognition and tracking framework for human–robot interaction,Normal,Human
IEEE Access,8905,Multimodal engagement prediction in multiperson human–robot interaction,Normal,Human
IEEE Access,8916,Pixel-wise motion segmentation for SLAM in dynamic environments,Normal,Human
IEEE Access,8986,Visual vocabulary based photovoltaic health monitoring system using infrared thermography,Normal,Human
Sustainability,9034,Defects impact on PV system GHG mitigation potential and climate change,Normal,Human
Sustainability,9041,The Role of Single End-Users and Producers on GHG Mitigation in Pakistan—A Case Study,Normal,Human
